rank,hand,label,notation,combos,equity_pct,win_pct,tie_pct,win_count,tie_count,denominator,rank_low,rank_high
185,KdKcJc8d,KKJ8 (ds),(KJ)(K8),12,66.101957,65.74807,0.707776,1667229844704,17947670808,2535785239680,185,185
186,AdAc2h2c,AA22 (ss),(A2)A2,24,66.099336,65.924564,0.349545,3343410702240,17727443112,5071570479360,186,186
187,AdAcQcTc,AAQT (3s),(AQT)A,12,66.098414,65.66698,0.862868,1665173579112,21880489044,2535785239680,187,187
188,KdKc6c5d,KK65 (ds),(K6)(K5),12,66.096003,65.660307,0.871393,1665004361352,22096662672,2535785239680,188,188
189,AdAcQc9h,AAQ9 (ss),(AQ)A9,24,66.095146,65.744044,0.702204,3334255529976,35612758464,5071570479360,189,189
190,KdKcQc9d,KKQ9 (ds),(KQ)(K9),12,66.091851,65.753635,0.676432,1667370962268,17152867236,2535785239680,190,190
191,AdAcQcJc,AAQJ (3s),(AQJ)A,12,66.08606,65.652831,0.866459,1664814798852,21971528256,2535785239680,191,191
192,KdKcThTc,KKTT (ss),(KT)KT,24,66.078291,65.861623,0.433336,3340218615984,21976917504,5071570479360,192,192
193,AdAc8h7h,AA87 (ss),AA(87),12,66.069275,65.567486,1.003579,1662650637744,25448596476,2535785239680,193,193
194,KdKcJc7d,KKJ7 (ds),(KJ)(K7),12,66.063116,65.715767,0.694697,1666410729300,17616018540,2535785239680,194,194
195,AdAcQh9c,AAQ9 (ss),(A9)AQ,24,66.05294,65.701601,0.702679,3332102980968,35636837544,5071570479360,195,195
196,AdAcQc8h,AAQ8 (ss),(AQ)A8,24,66.041308,65.69744,0.687736,3331891970880,34878996408,5071570479360,196,196
197,AdAc7h4c,AA74 (ss),(A4)A7,24,66.028794,65.64117,0.775247,3329038201704,39317204400,5071570479360,197,197
198,KdKc9c6d,KK96 (ds),(K9)(K6),12,66.021974,65.670708,0.702533,1665268113528,17814739044,2535785239680,198,198
199,AdAcJh9h,AAJ9 (ss),AA(J9),12,66.021958,65.59038,0.863156,1663231175256,21887773908,2535785239680,199,199
200,AdAcJc5h,AAJ5 (ss),(AJ)A5,24,66.012869,65.692508,0.640721,3331641860136,32494606512,5071570479360,200,200
201,AdAc7c4h,AA74 (ss),(A7)A4,24,66.008495,65.620622,0.775746,3327996102552,39342509952,5071570479360,201,201
